"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","646","","","","0"
"2019","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","672","","","","0"
"2009","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","629","","","","0"
"2010","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","653","","","","0"
"2011","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","665","","","","0"
"2012","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","659","","","","0"
"2013","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","676","","","","0"
"2014","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","693","","","","0"
"2015","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","712","","","","0"
"2016","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","719","","","","0"
"2017","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","736","","","","0"
"2018","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","764","","","","0"
"2019","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824617","46.4.2","794","","","","0"
"2009","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","685","","","","0"
"2010","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","715","","","","0"
"2011","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","734","","","","0"
"2012","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","724","","","","0"
"2013","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","742","","","","0"
"2014","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","761","","","","0"
"2015","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","778","","","","0"
"2016","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","792","","","","0"
"2017","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","801","","","","0"
"2018","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","830","","","","0"
"2019","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824805","46.4.3","873","","","","0"
"2009","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","821","","","","0"
"2010","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","865","","","","0"
"2011","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","883","","","","0"
"2012","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","883","","","","0"
"2013","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","875","","","","0"
"2014","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","896","","","","0"
"2015","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","940","","","","0"
"2016","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","953","","","","0"
"2017","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","952","","","","0"
"2018","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","989","","","","0"
"2019","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824993","46.4.4","1072","","","","0"
"2009","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","688","","","","0"
"2010","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","715","","","","0"
"2011","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","728","","","","0"
"2012","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","754","","","","0"
"2013","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","766","","","","0"
"2014","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","780","","","","0"
"2015","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","801","","","","0"
"2016","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","812","","","","0"
"2017","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","836","","","","0"
"2018","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822826","106.3.1","881","","","","0"
