"REF_DATE","GEO","DGUID","Family type","Family composition","Parent characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","71190","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","72970","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","75560","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","78370","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","227810","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","229100","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","230800","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","232470","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","234440","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","236150","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","237240","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","238510","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","239500","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","248080","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with 2 children","All parental age groups","Number","223","units","0","v21211338","14.1.4.1","250660","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","93290","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","92040","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","91260","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","91490","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","92110","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","93100","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","93320","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","93480","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","94070","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","97640","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 35 to 44 years","Number","223","units","0","v21211341","14.1.4.4","98120","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","5260","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","5430","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","5490","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","5490","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","5740","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","5900","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","6210","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","6490","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","6630","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","7000","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Older parent aged 65 years and over","Number","223","units","0","v21211344","14.1.4.7","7330","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","78700","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","81580","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","81930","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","83670","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","86750","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","89360","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","91980","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","94340","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","97330","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","100700","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with 2 children","Median total income","Dollars","81","units","0","v21211345","14.1.4.8","104750","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 3 or more children","All parental age groups","Number","223","units","0","v21211346","14.1.5.1","88140","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 3 or more children","All parental age groups","Number","223","units","0","v21211346","14.1.5.1","89140","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 3 or more children","All parental age groups","Number","223","units","0","v21211346","14.1.5.1","89380","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 3 or more children","All parental age groups","Number","223","units","0","v21211346","14.1.5.1","90340","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 3 or more children","All parental age groups","Number","223","units","0","v21211346","14.1.5.1","92060","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 3 or more children","All parental age groups","Number","223","units","0","v21211346","14.1.5.1","93640","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 3 or more children","All parental age groups","Number","223","units","0","v21211346","14.1.5.1","95150","","","","0"
